DCS-ID,SC-ID,BOARD,SLOT,SYSTEM,NAME,CAL-ID,W-CABLE,FLANGE,CHAN,X,Y,Z,COMMENT,COMMENT2
47892693778714,TE0146,7,1,BOTTOM,,,7.1,,,,,,,
47892710555930,TE0147,7,1,BOTTOM,,,7.1,,,,,,,
47892727333146,TE0148,7,1,BOTTOM,,,7.1,,,,,,,
47892744110362,TE0149,7,1,BOTTOM,,,7.1,,,,,,,
47892760887578,TE0150,7,1,BOTTOM,,,7.1,,,,,,,
47892777664794,TE0151,7,2,BOTTOM,,,7.2,,,,,,,
47892794442010,TE0152,7,2,BOTTOM,,,7.2,,,,,,,
47892811219226,TE0153,7,2,BOTTOM,,,7.2,,,,,,,
47892827996442,TE0154,7,2,BEAM_WINDOW,,,7.2,,,,,,,
47892844773658,TE0155,7,2,BEAM_WINDOW,,,7.2,,,,,,,
47892861550874,TE0156,7,2,BEAM_WINDOW,,,7.2,,,,,,,
47892878328090,TE0157,7,3,,,,,,,,,,,
47892895105306,TE0158,7,3,,,,,,,,,,,
47892911882522,TE0159,7,3,,,,,,,,,,,
47892928659738,TE0160,7,3,,,,,,,,,,,
47892945436954,TE0161,7,3,,,,,,,,,,,
47892962214170,TE0162,7,3,,,,,,,,,,,
47892978991386,TE0163,7,4,,,,,,,,,,,
47892995768602,TE0164,7,4,,,,,,,,,,,
47893012545818,TE0165,7,4,,,,,,,,,,,
47893029323034,TE0166,7,4,,,,,,,,,,,
47893046100250,TE0167,7,4,,,,,,,,,,,
47893062877466,TE0168,7,4,,,,,,,,,,,
47893079654682,TE0169,8,1,US-RAS_PD,,,8.1,,,,,,,
47893096431898,TE0170,8,1,US-RAS_PD,,,8.1,,,,,,,
47893113209114,TE0171,8,1,US-RAS_PD,,,8.1,,,,,,,
47893129986330,TE0172,8,1,US-RAS_CE,,,8.1,,,,,,,
47893146763546,TE0173,8,1,US-RAS_CE,,,8.1,,,,,,,
47893163540762,TE0174,8,1,US-RAS_CE,,,8.1,,,,,,,
47893180317978,TE0175,8,2,MS-RAS_PD,,,8.2,,,,,,,
47893197095194,TE0176,8,2,MS-RAS_PD,,,8.2,,,,,,,
47893213872410,TE0177,8,2,MS-RAS_PD,,,8.2,,,,,,,
47893230649626,TE0178,8,2,MS-RAS_CE,,,8.2,,,,,,,
47893247426842,TE0179,8,2,MS-RAS_CE,,,8.2,,,,,,,
47893264204058,TE0180,8,2,MS-RAS_CE,,,8.2,,,,,,,
47893280981274,TE0181,8,3,DS-RAS_PD,,,8.3,,,,,,,
47893297758490,TE0182,8,3,DS-RAS_PD,,,8.3,,,,,,,
47893314535706,TE0183,8,3,DS-RAS_PD,,,8.3,,,,,,,
47893331312922,TE0184,8,3,DS-RAS_CE,,,8.3,,,,,,,
47893348090138,TE0185,8,3,DS-RAS_CE,,,8.3,,,,,,,
47893364867354,TE0186,8,3,DS-RAS_CE,,,8.3,,,,,,,
47893381644570,TE0187,8,4,US-DAS_PD,,,8.4,,,,,,,
47893398421786,TE0188,8,4,US-DAS_PD,,,8.4,,,,,,,
47893415199002,TE0189,8,4,US-DAS_PD,,,8.4,,,,,,,
47893431976218,TE0190,8,4,US-DAS_CE,,,8.4,,,,,,,
47893448753434,TE0191,8,4,US-DAS_CE,,,8.4,,,,,,,
47893465530650,TE0192,8,4,US-DAS_CE,,,8.4,,,,,,,
47893482307866,TE0193,9,1,MS-DAS_PD,,,9.1,,,,,,,
47893499085082,TE0194,9,1,MS-DAS_PD,,,9.1,,,,,,,
47893515862298,TE0195,9,1,MS-DAS_PD,,,9.1,,,,,,,
47893532639514,TE0196,9,1,MS-DAS_CE,,,9.1,,,,,,,
47893549416730,TE0197,9,1,MS-DAS_CE,,,9.1,,,,,,,
47893566193946,TE0198,9,1,MS-DAS_CE,,,9.1,,,,,,,
47893582971162,TE0199,9,2,DS-DAS_PD,,,9.2,,,,,,,
47893599748378,TE0200,9,2,DS-DAS_PD,,,9.2,,,,,,,
47893616525594,TE0201,9,2,DS-DAS_PD,,,9.2,,,,,,,
47893633302810,TE0202,9,2,DS-DAS_CE,,,9.2,,,,,,,
47893650080026,TE0203,9,2,DS-DAS_CE,,,9.2,,,,,,,
47893666857242,TE0204,9,2,DS-DAS_CE,,,9.2,,,,,,,
47893683634458,TE0205,9,3,,,,9.3,,,,,,,
47893700411674,TE0206,9,3,,,,9.3,,,,,,,
47893717188890,TE0207,9,3,,,,9.3,,,,,,,
47893733966106,TE0208,9,3,,,,9.3,,,,,,,
47893750743322,TE0209,9,3,,,,9.3,,,,,,,
47893767520538,TE0210,9,3,,,,9.3,,,,,,,
47893784297754,TE0211,9,4,,,,9.4,,,,,,,
47893801074970,TE0212,9,4,,,,9.4,,,,,,,
47893817852186,TE0213,9,4,,,,9.4,,,,,,,
47893834629402,TE0214,9,4,,,,9.4,,,,,,,
47893851406618,TE0215,9,4,,,,9.4,,,,,,,
47893868183834,TE0216,9,4,,,,9.4,,,,,,,
48027465154842,TE0217,10,1,,,,10.1,,,,,,,
48027481932058,TE0218,10,1,,,,10.1,,,,,,,
48027498709274,TE0219,10,1,,,,10.1,,,,,,,
48027515486490,TE0220,10,1,,,,10.1,,,,,,,
48027532263706,TE0221,10,1,,,,10.1,,,,,,,
48027549040922,TE0222,10,1,,,,10.1,,,,,,,
48027565818138,TE0223,10,2,,,,10.2,,,,,,,
48027582595354,TE0224,10,2,,,,10.2,,,,,,,
48027599372570,TE0225,10,2,,,,10.2,,,,,,,
48027616149786,TE0226,10,2,,,,10.2,,,,,,,
48027632927002,TE0227,10,2,,,,10.2,,,,,,,
48027649704218,TE0228,10,2,,,,10.2,,,,,,,
48027666481434,TE0229,10,3,,,,10.3,,,,,,,
48027683258650,TE0230,10,3,,,,10.3,,,,,,,
48027700035866,TE0231,10,3,,,,10.3,,,,,,,
48027716813082,TE0232,10,3,,,,10.3,,,,,,,
48027733590298,TE0233,10,3,,,,10.3,,,,,,,
48027750367514,TE0234,10,3,,,,10.3,,,,,,,
48027767144730,TE0235,10,4,,,,10.4,,,,,,,
48027783921946,TE0236,10,4,,,,10.4,,,,,,,
48027800699162,TE0237,10,4,,,,10.4,,,,,,,
48027817476378,TE0238,10,4,,,,10.4,,,,,,,
48027834253594,TE0239,10,4,,,,10.4,,,,,,,
48027851030810,TE0240,10,4,,,,10.4,,,,,,,
48027867808026,TE0241,11,1,APA,APA2LAr3,44127,T_APA/USRAS,,,326,2601,3310,,
48027884585242,TE0242,11,1,APA,APA2LAr1,44125,T_APA/USRAS,,,325,6156,3307,,
48027901362458,TE0243,11,1,APA,APA2LAr4,44128,T_APA/USRAS,,,326,1189,2917,,
48027918139674,TE0244,11,1,APA,APA2LAr2,44126,T_APA/USRAS,,,326,4500,2919,,
48027934916890,TE0245,11,1,,,,T_APA/USRAS,,,,,,,
48027951694106,TE0246,11,1,,,,T_APA/USRAS,,,,,,,
48027968471322,TE0247,11,2,APA,APA1F2,40198,T_APA/MSRAS,,,330,1123,5497,,
48027985248538,TE0248,11,2,APA,APA1LAr1,40199,T_APA/MSRAS,,,326,6152,5647,,
48028002025754,TE0249,11,2,APA,APA1LAr4,40200,T_APA/MSRAS,,,326,1186,5254,,
48028018802970,TE0250,11,2,APA,APA1F1,40201,T_APA/MSRAS,,,364,6179,5497,,
48028035580186,TE0251,11,2,,,,T_APA/MSRAS,,,,,,,
48028052357402,TE0252,11,2,,,,T_APA/MSRAS,,,,,,,
48028069134618,TE0253,11,3,APA,APA3LAr1,44110,T_APA/USDAS,,,7491,1115,5256,,
48028085911834,TE0254,11,3,APA,APA3LAr3,44112,T_APA/USDAS,,,7498,4666,5256,,
48028102689050,TE0255,11,3,APA,APA3LAr2,44111,T_APA/USDAS,,,7493,2524,5642,,
48028119466266,TE0256,11,3,APA,APA3LAr4,44113,T_APA/USDAS,,,7493,6069,5641,,
48028136243482,TE0257,11,3,,,,T_APA/USDAS,,,,,,,
48028153020698,TE0258,11,3,,,,T_APA/USDAS,,,,,,,
48028169797914,TE0259,11,4,APA,APA4F2,49991,T_APA/MSDAS,,,7491,6138,3109,,
48028186575130,TE0260,11,4,APA,APA4LAr1,44115,T_APA/MSDAS,,,7491,1114,2922,,
48028203352346,TE0261,11,4,APA,APA4LAr4,44114,T_APA/MSDAS,,,7491,6073,3308,,
48028220129562,TE0262,11,4,APA,APA4F1,49992,T_APA/MSDAS,,,7492,1107,3165,,
48028236906778,TE0263,11,4,,,,T_APA/MSDAS,,,,,,,
48028253683994,TE0264,11,4,,,,T_APA/MSDAS,,,,,,,
48028270461210,TE0265,12,1,GA-1,GA-1.1,48751,T_GAR/9.1.21,,,4000,7338,2000,,
48028287238426,TE0266,12,1,GA-1,GA-1.2,48746,T_GAR/9.1.21,,,4000,7358,2000,,
48028304015642,TE0267,12,1,GA-1,GA-1.3,48797,T_GAR/9.1.21,,,4000,7378,2000,,
48028320792858,TE0268,12,1,GA-1,GA-1.4,48490,T_GAR/9.1.21,,,4000,7398,2000,,
48028337570074,TE0269,12,1,GA-1,1G1,1,T_GAR/9.1.21,,,4000,7418,2000,,
48028354347290,TE0270,12,1,GA-1,1G2,2,T_GAR/9.1.21,,,4000,7458,2000,,
48028371124506,TE0271,12,2,GA-1,1G3,3,T_GAR/9.1.22,,,4000,7518,2000,,
48028387901722,TE0272,12,2,GA-1,1G4,4,T_GAR/9.1.22,,,4000,7578,2000,,
48028404678938,TE0273,12,2,GA-1,1G5,5,T_GAR/9.1.22,,,4000,7638,2000,,
48028421456154,TE0274,12,2,GA-1,1G6,6,T_GAR/9.1.22,,,4000,7698,2000,,
48028438233370,TE0275,12,2,GA-1,1G7,7,T_GAR/9.1.22,,,4000,7718,2000,,
48028455010586,TE0276,12,2,GA-1,1G8,8,T_GAR/9.1.22,,,4000,7738,2000,,
48028471787802,TE0277,12,3,GA-1,1G9,9,T_GAR/9.1.23,,,4000,7758,2000,,
48028488565018,TE0278,12,3,GA-1,1G10,10,T_GAR/9.1.23,,,4000,7778,2000,,
48028505342234,TE0279,12,3,GA-1,1G11,11,T_GAR/9.1.23,,,4000,7798,2000,,
48028522119450,TE0280,12,3,GA-1,1G12,12,T_GAR/9.1.23,,,4000,7838,2000,,
